animal_id,group,project,experiment,cluster,time_bin,percentage,seconds,time_min
133.3,ELS,"Sanguino-Gomez et al., 2024",3,Inaccurate tracking,t_390s,3.8666666666666663,390.0,6.5
133.3,ELS,"Sanguino-Gomez et al., 2024",3,Inaccurate tracking,t_420s,5.866666666666666,420.0,7.0
133.3,ELS,"Sanguino-Gomez et al., 2024",3,Inaccurate tracking,t_450s,4.266666666666667,450.0,7.5
133.3,ELS,"Sanguino-Gomez et al., 2024",3,Mix behaviors,t_030s,20.666666666666664,30.0,0.5
133.3,ELS,"Sanguino-Gomez et al., 2024",3,Mix behaviors,t_060s,7.066666666666666,60.0,1.0
133.3,ELS,"Sanguino-Gomez et al., 2024",3,Mix behaviors,t_090s,29.46666666666667,90.0,1.5
133.3,ELS,"Sanguino-Gomez et al., 2024",3,Mix behaviors,t_120s,43.73333333333333,120.0,2.0
133.3,ELS,"Sanguino-Gomez et al., 2024",3,Mix behaviors,t_150s,46.400000000000006,150.0,2.5
133.3,ELS,"Sanguino-Gomez et al., 2024",3,Mix behaviors,t_180s,10.8,180.0,3.0
133.3,ELS,"Sanguino-Gomez et al., 2024",3,Mix behaviors,t_210s,9.333333333333334,210.0,3.5
133.3,ELS,"Sanguino-Gomez et al., 2024",3,Mix behaviors,t_240s,0.0,240.0,4.0
133.3,ELS,"Sanguino-Gomez et al., 2024",3,Mix behaviors,t_270s,2.4,270.0,4.5
133.3,ELS,"Sanguino-Gomez et al., 2024",3,Mix behaviors,t_300s,0.0,300.0,5.0
133.3,ELS,"Sanguino-Gomez et al., 2024",3,Mix behaviors,t_330s,7.466666666666668,330.0,5.5
133.3,ELS,"Sanguino-Gomez et al., 2024",3,Mix behaviors,t_360s,0.0,360.0,6.0
133.3,ELS,"Sanguino-Gomez et al., 2024",3,Mix behaviors,t_390s,3.866666666666667,390.0,6.5
133.3,ELS,"Sanguino-Gomez et al., 2024",3,Mix behaviors,t_420s,0.0,420.0,7.0
133.3,ELS,"Sanguino-Gomez et al., 2024",3,Mix behaviors,t_450s,1.7333333333333332,450.0,7.5
134.2,ELS,"Sanguino-Gomez et al., 2024",3,Inaccurate tracking,t_030s,28.666666666666668,30.0,0.5
134.2,ELS,"Sanguino-Gomez et al., 2024",3,Inaccurate tracking,t_060s,16.53333333333333,60.0,1.0
134.2,ELS,"Sanguino-Gomez et al., 2024",3,Inaccurate tracking,t_090s,10.533333333333333,90.0,1.5
