cluster,analysis,parameter,coef,std_err,z,p_value,ci_low,ci_high,aic,bic,log_likelihood,n_observations,n_animals
Jump,Exp1,Group Var,1.5257592528369415e-10,0.018294572293664133,8.339955853274307e-09,0.999999993345678,-0.03585670265557011,0.03585670296072196,2507.7782634176656,2535.498702656848,-1247.8891317088328,750,50
Jump,Exp3,Intercept,0.18861111111111165,0.16502977554890866,1.1428913993475944,0.2530836839056273,-0.13484130534147817,0.5120635275637014,1612.9447127746057,1637.9874293980174,-800.4723563873029,480,32
Jump,Exp3,group[T.ELS],0.0344444444444439,0.23338734677665451,0.14758488375724294,0.8826703854644402,-0.42298634968515925,0.491875238574047,1612.9447127746057,1637.9874293980174,-800.4723563873029,480,32
Jump,Exp3,time_bin_numeric,0.0020833333333333324,0.0006307864545981066,3.302755343186131,0.0009573987850913977,0.0008470146003853336,0.0033196520662813313,1612.9447127746057,1637.9874293980174,-800.4723563873029,480,32
Jump,Exp3,group[T.ELS]:time_bin_numeric,-0.00023809523809523644,0.0008920667590538834,-0.26690293711622853,0.7895438951662702,-0.001986513957646218,0.0015103234814557451,1612.9447127746057,1637.9874293980174,-800.4723563873029,480,32
Jump,Exp3,Group Var,0.029951841541982313,0.02292632697857167,1.3064387317679416,0.19140340162866165,-0.01498293363380715,0.07488661671777178,1612.9447127746057,1637.9874293980174,-800.4723563873029,480,32
Jump,Combined,Intercept,0.29696476964769847,0.11099320240716808,2.6755221329528927,0.00746129464509326,0.0794220904008846,0.5145074488945123,4130.374614313483,4166.178000452049,-2058.1873071567416,1230,82
Jump,Combined,group[T.ELS],-0.029214092140922417,0.15696809217543908,-0.18611484497289169,0.8523547006975092,-0.3368658995267465,0.2784377152449017,4130.374614313483,4166.178000452049,-2058.1873071567416,1230,82
Jump,Combined,time_bin_numeric,0.001773906310491671,0.0003909821431580666,4.53705198954448,5.704604722112517e-06,0.0010075953913035768,0.0025402172296797652,4130.374614313483,4166.178000452049,-2058.1873071567416,1230,82
Jump,Combined,group[T.ELS]:time_bin_numeric,0.0001866047231900914,0.0005529322494998373,0.3374820755325582,0.7357535220763605,-0.0008971225717203049,0.0012703320181004876,4130.374614313483,4166.178000452049,-2058.1873071567416,1230,82
Jump,Combined,Group Var,0.0390666364834778,,,,,,4130.374614313483,4166.178000452049,-2058.1873071567416,1230,82
Jump,Combined,experiment Var,0.0390666364834778,,,,,,4130.374614313483,4166.178000452049,-2058.1873071567416,1230,82
