Animal,group,Experiment,cluster,bout_duration
58.5,Control,1,Climbing,0.875
58.5,Control,1,Freezing,1.026470588235294
58.5,Control,1,Grooming,0.25
58.5,Control,1,Jump,0.3382352941176471
58.5,Control,1,Locomotion,0.5625
58.5,Control,1,Sniffing,0.7083333333333334
58.5,Control,1,Turn,0.9288888888888889
62.1,Control,1,Climbing,0.8571428571428571
62.1,Control,1,Freezing,0.8142857142857143
62.1,Control,1,Grooming,0.25
62.1,Control,1,Jump,0.40476190476190477
62.1,Control,1,Locomotion,0.4197080291970803
62.1,Control,1,Sniffing,0.375
62.1,Control,1,Turn,0.9623115577889447
62.2,Control,1,Climbing,0.8823529411764706
62.2,Control,1,Freezing,0.984375
62.2,Control,1,Grooming,0.25
62.2,Control,1,Jump,0.5
62.2,Control,1,Locomotion,0.3915094339622642
62.2,Control,1,Sniffing,0.8928571428571429
62.2,Control,1,Turn,1.2597087378640777
62.3,Control,1,Climbing,0.9032258064516129
62.3,Control,1,Freezing,1.1673553719008265
62.3,Control,1,Grooming,0.25
62.3,Control,1,Jump,0.43333333333333335
62.3,Control,1,Locomotion,0.4513888888888889
62.3,Control,1,Sniffing,0.875
62.3,Control,1,Turn,1.0588942307692308
62.4,Control,1,Climbing,1.1826923076923077
62.4,Control,1,Freezing,1.2202970297029703
62.4,Control,1,Grooming,0.25
62.4,Control,1,Jump,0.6666666666666666
62.4,Control,1,Locomotion,0.46271929824561403
62.4,Control,1,Sniffing,0.32142857142857145
62.4,Control,1,Turn,1.056578947368421
62.5,Control,1,Climbing,0.8375
62.5,Control,1,Freezing,0.7533783783783784
62.5,Control,1,Jump,0.390625
62.5,Control,1,Locomotion,0.5383333333333333
62.5,Control,1,Sniffing,1.0625
62.5,Control,1,Turn,1.2675675675675675
63.3,ELS,1,Climbing,0.6944444444444444
63.3,ELS,1,Freezing,1.4179104477611941
63.3,ELS,1,Jump,0.53125
63.3,ELS,1,Locomotion,0.49473684210526314
63.3,ELS,1,Sniffing,1.5
63.3,ELS,1,Turn,1.4341317365269461
