section,parameter,coef,se,z,p_value,ci_low,ci_high
Turn - Sanguino-Gomez et al.,ELS resilient - Control x time (per minute),0.1595436507936504,0.9328751547961572,0.171023582280431,0.8642052227922286,-1.6688580546790455,1.9879453562663465
Sniff - Combined full dataset,Intercept,10.072096414803207,1.2415613683350852,8.112443469717276,4.961185469279013e-16,7.638680848270171,12.505511981336243
Sniff - Combined full dataset,Control - ELS vulnerable,-7.110536894960943,1.533343736117621,-4.637275209382994,3.5303221869529295e-06,-10.115835393671569,-4.105238396250318
Sniff - Combined full dataset,ELS resilient - ELS vulnerable,-4.6639640207460245,2.1755339908275206,-2.1438249369627016,0.032046916455710214,-8.927932289910657,-0.39999575158139145
Sniff - Combined full dataset,Sanguino-Gomez et al. - Sanguino-Gomez & Krugers,4.761142619293045,1.1817769916724048,4.028799555959591,5.6062392376416175e-05,2.44490227785704,7.07738296072905
Sniff - Combined full dataset,Time (per minute),-1.5234154351395743,0.19071826127379532,-7.987779591554465,1.373908025680694e-15,-1.8972163584303134,-1.1496145118488352
Sniff - Combined full dataset,Control - ELS vulnerable x time (per minute),1.0287812887981125,0.24920076453465773,4.128323164333769,3.654183061667942e-05,0.5403567653903371,1.5172058122058882
Sniff - Combined full dataset,ELS resilient - ELS vulnerable x time (per minute),0.6769074986316375,0.3525279731826593,1.9201525839792113,0.05483862887173211,-0.014034632349276925,1.3678496296125517
Sniff - Combined full dataset,ELS resilient - Control,2.446572874214919,2.076917169020852,1.1779828828553325,0.2388034303078863,-1.6241099759388389,6.517255724368677
Sniff - Combined full dataset,ELS resilient - Control x time (per minute),-0.35187379016647513,0.3370906147526691,-1.043855197287687,0.29655238935209993,-1.0125592546081728,0.3088116742752225
Sniff - Sanguino-Gomez & Krugers,Intercept,5.2953216374269045,0.8183545196249177,6.470693947965177,9.755384803647565e-11,3.691376252376489,6.89926702247732
Sniff - Sanguino-Gomez & Krugers,Control - ELS vulnerable,-3.3705216374269007,1.085669954834955,-3.104554586240983,0.0019056576047097476,-5.49839564800064,-1.2426476268531617
Sniff - Sanguino-Gomez & Krugers,ELS resilient - ELS vulnerable,-2.0010623781676387,1.6704591681512435,-1.1979115780377232,0.23095144187869077,-5.275102185388814,1.2729774290535367
Sniff - Sanguino-Gomez & Krugers,Time (per minute),-0.47929824561403506,0.14266325756702863,-3.35964742280501,0.0007804200069359876,-0.7589130923625724,-0.1996833988654976
Sniff - Sanguino-Gomez & Krugers,Control - ELS vulnerable x time (per minute),0.48828872180451127,0.1892641986878658,2.5799317841922984,0.009881983356422186,0.11733770881346137,0.8592397347955613
Sniff - Sanguino-Gomez & Krugers,ELS resilient - ELS vulnerable x time (per minute),0.38802840434419367,0.2912101550687258,1.3324686573949274,0.18270623410901232,-0.1827330115228331,0.9587898202112204
Sniff - Sanguino-Gomez & Krugers,ELS resilient - Control,1.369459259259262,1.621636470886992,0.8444921434889808,0.3983944517590059,-1.808889819695878,4.547808338214402
Sniff - Sanguino-Gomez & Krugers,ELS resilient - Control x time (per minute),-0.1002603174603176,0.28269892323961643,-0.35465404788732313,0.7228487803290546,-0.6543400254782191,0.4538193905575839
Sniff - Sanguino-Gomez et al.,Intercept,23.909111111111176,2.7699359357479882,8.631647686340733,6.0474413248509655e-18,18.480136437561868,29.338085784660485
Sniff - Sanguino-Gomez et al.,Control - ELS vulnerable,-14.566472222222304,3.5309893469452183,-4.125323185929254,3.702145129954751e-05,-21.487084172029537,-7.645860272415071
Sniff - Sanguino-Gomez et al.,ELS resilient - ELS vulnerable,-11.625962962963062,4.523286441854144,-2.570246901763191,0.010162605626015038,-20.491441480755512,-2.7604844451706096
Sniff - Sanguino-Gomez et al.,Time (per minute),-3.5072380952381033,0.43739547332482825,-8.018459973026472,1.0707916462973481e-15,-4.364517469955617,-2.6499587205205897
Sniff - Sanguino-Gomez et al.,Control - ELS vulnerable x time (per minute),2.2256904761904854,0.5575720134101128,3.9917542894202187,6.558630953235906e-05,1.1328694111191804,3.3185115412617905
Sniff - Sanguino-Gomez et al.,ELS resilient - ELS vulnerable x time (per minute),1.905492063492073,0.7142638169659731,2.667770672727286,0.007635635668051157,0.5055607067786564,3.3054234202054893
Sniff - Sanguino-Gomez et al.,ELS resilient - Control,2.940509259259242,4.193198758347377,0.701256827715497,0.4831427510248577,-5.278009287119689,11.159027805638173
Sniff - Sanguino-Gomez et al.,ELS resilient - Control x time (per minute),-0.32019841269841254,0.6621402798462778,-0.4835809305737293,0.628683310939256,-1.6179695139103896,0.9775726885135645
