animal_id,animal,group,project,experiment,syllable,syllable_frames,freezing_frames,overlap_frames,precision_percent,recall_percent
34.5,Animal 34_5DLC_resnet50_Freezing_07-2020Sep29shuffle1_100000filtered,Control,"Sanguino-Gomez and Krugers, 2024",1,6,103,1554,13,12.621359223300971,0.83655083655083651
34.5,Animal 34_5DLC_resnet50_Freezing_07-2020Sep29shuffle1_100000filtered,Control,"Sanguino-Gomez and Krugers, 2024",1,7,78,1554,0,0,0
34.5,Animal 34_5DLC_resnet50_Freezing_07-2020Sep29shuffle1_100000filtered,Control,"Sanguino-Gomez and Krugers, 2024",1,8,23,1554,0,0,0
34.5,Animal 34_5DLC_resnet50_Freezing_07-2020Sep29shuffle1_100000filtered,Control,"Sanguino-Gomez and Krugers, 2024",1,9,103,1554,0,0,0
34.5,Animal 34_5DLC_resnet50_Freezing_07-2020Sep29shuffle1_100000filtered,Control,"Sanguino-Gomez and Krugers, 2024",1,10,603,1554,7,1.160862354892205,0.45045045045045051
34.5,Animal 34_5DLC_resnet50_Freezing_07-2020Sep29shuffle1_100000filtered,Control,"Sanguino-Gomez and Krugers, 2024",1,11,285,1554,0,0,0
34.5,Animal 34_5DLC_resnet50_Freezing_07-2020Sep29shuffle1_100000filtered,Control,"Sanguino-Gomez and Krugers, 2024",1,12,211,1554,0,0,0
34.5,Animal 34_5DLC_resnet50_Freezing_07-2020Sep29shuffle1_100000filtered,Control,"Sanguino-Gomez and Krugers, 2024",1,13,208,1554,39,18.75,2.50965250965251
34.5,Animal 34_5DLC_resnet50_Freezing_07-2020Sep29shuffle1_100000filtered,Control,"Sanguino-Gomez and Krugers, 2024",1,14,482,1554,0,0,0
34.5,Animal 34_5DLC_resnet50_Freezing_07-2020Sep29shuffle1_100000filtered,Control,"Sanguino-Gomez and Krugers, 2024",1,15,100,1554,2,2,0.1287001287001287
34.5,Animal 34_5DLC_resnet50_Freezing_07-2020Sep29shuffle1_100000filtered,Control,"Sanguino-Gomez and Krugers, 2024",1,16,454,1554,0,0,0
34.5,Animal 34_5DLC_resnet50_Freezing_07-2020Sep29shuffle1_100000filtered,Control,"Sanguino-Gomez and Krugers, 2024",1,17,155,1554,6,3.870967741935484,0.38610038610038611
34.5,Animal 34_5DLC_resnet50_Freezing_07-2020Sep29shuffle1_100000filtered,Control,"Sanguino-Gomez and Krugers, 2024",1,18,43,1554,0,0,0
34.5,Animal 34_5DLC_resnet50_Freezing_07-2020Sep29shuffle1_100000filtered,Control,"Sanguino-Gomez and Krugers, 2024",1,19,116,1554,0,0,0
34.5,Animal 34_5DLC_resnet50_Freezing_07-2020Sep29shuffle1_100000filtered,Control,"Sanguino-Gomez and Krugers, 2024",1,21,59,1554,1,1.6949152542372881,6.4350064350064351E-2
34.5,Animal 34_5DLC_resnet50_Freezing_07-2020Sep29shuffle1_100000filtered,Control,"Sanguino-Gomez and Krugers, 2024",1,22,18,1554,1,5.5555555555555554,6.4350064350064351E-2
34.5,Animal 34_5DLC_resnet50_Freezing_07-2020Sep29shuffle1_100000filtered,Control,"Sanguino-Gomez and Krugers, 2024",1,23,63,1554,0,0,0
