animal_id,group,experiment,cluster,frequency_seconds
15.4,ELS,1,Sniff,38.12
15.4,ELS,1,Turn,176.35999999999996
15.6,ELS,1,Climb,8.16
15.6,ELS,1,Freeze,81.8
15.6,ELS,1,Groom,0.8800000000000001
15.6,ELS,1,Jump,5.0
15.6,ELS,1,Locomotion,6.16
15.6,ELS,1,Sniff,18.04
15.6,ELS,1,Turn,214.04
150.3,ELS,3,Climb,6.239999999999998
150.3,ELS,3,Freeze,152.12
150.3,ELS,3,Groom,0.039999999999999994
150.3,ELS,3,Jump,2.24
150.3,ELS,3,Locomotion,2.5600000000000005
150.3,ELS,3,Sniff,48.67999999999999
150.3,ELS,3,Turn,199.03999999999996
150.5,ELS,3,Climb,45.08
150.5,ELS,3,Freeze,56.84
150.5,ELS,3,Jump,1.72
150.5,ELS,3,Locomotion,19.119999999999997
150.5,ELS,3,Sniff,67.60000000000001
150.5,ELS,3,Turn,194.07999999999998
152.3,Control,3,Climb,16.8
152.3,Control,3,Freeze,97.72
152.3,Control,3,Jump,4.44
152.3,Control,3,Locomotion,57.480000000000004
152.3,Control,3,Sniff,2.24
152.3,Control,3,Turn,175.88
152.5,Control,3,Climb,14.399999999999999
152.5,Control,3,Freeze,162.24
152.5,Control,3,Groom,0.2
152.5,Control,3,Jump,3.52
152.5,Control,3,Locomotion,12.68
152.5,Control,3,Sniff,5.76
152.5,Control,3,Turn,193.56000000000003
153.4,ELS,3,Climb,5.84
153.4,ELS,3,Freeze,125.79999999999998
153.4,ELS,3,Groom,0.039999999999999994
153.4,ELS,3,Jump,4.48
153.4,ELS,3,Locomotion,4.96
153.4,ELS,3,Sniff,20.92
153.4,ELS,3,Turn,233.99999999999997
154.4,ELS,3,Climb,15.64
154.4,ELS,3,Freeze,114.44
154.4,ELS,3,Jump,5.92
154.4,ELS,3,Locomotion,14.799999999999999
154.4,ELS,3,Sniff,8.4
154.4,ELS,3,Turn,221.51999999999998
157.1,Control,3,Climb,3.88
157.1,Control,3,Freeze,84.72
157.1,Control,3,Jump,1.6400000000000001
157.1,Control,3,Locomotion,38.839999999999996
157.1,Control,3,Sniff,3.56
157.1,Control,3,Turn,176.12
157.4,Control,3,Climb,20.959999999999997
157.4,Control,3,Freeze,86.64
157.4,Control,3,Groom,0.32
157.4,Control,3,Jump,3.4800000000000004
157.4,Control,3,Locomotion,12.279999999999998
157.4,Control,3,Sniff,3.5600000000000005
157.4,Control,3,Turn,227.2
158.5,Control,3,Climb,20.639999999999997
158.5,Control,3,Freeze,132.84
158.5,Control,3,Groom,0.27999999999999997
158.5,Control,3,Jump,5.5200000000000005
158.5,Control,3,Locomotion,9.399999999999997
158.5,Control,3,Sniff,5.8
158.5,Control,3,Turn,206.44000000000003
159.3,ELS,3,Climb,30.999999999999996
159.3,ELS,3,Freeze,54.32
159.3,ELS,3,Jump,1.0
159.3,ELS,3,Locomotion,4.92
159.3,ELS,3,Sniff,103.03999999999999
159.3,ELS,3,Turn,213.76
159.4,ELS,3,Climb,11.12
159.4,ELS,3,Freeze,150.27999999999997
159.4,ELS,3,Jump,0.039999999999999994
159.4,ELS,3,Locomotion,3.400000000000001
159.4,ELS,3,Sniff,52.47999999999998
159.4,ELS,3,Turn,174.04000000000002
159.5,ELS,3,Climb,17.6
159.5,ELS,3,Freeze,42.599999999999994
159.5,ELS,3,Jump,1.8
159.5,ELS,3,Locomotion,4.520000000000001
159.5,ELS,3,Sniff,101.75999999999999
159.5,ELS,3,Turn,237.43999999999997
161.1,Control,3,Climb,5.68
161.1,Control,3,Freeze,159.88
161.1,Control,3,Jump,4.4399999999999995
161.1,Control,3,Locomotion,7.520000000000002
161.1,Control,3,Sniff,1.92
161.1,Control,3,Turn,208.88000000000002
161.3,Control,3,Climb,8.96
161.3,Control,3,Freeze,127.6
161.3,Control,3,Jump,4.720000000000001
161.3,Control,3,Locomotion,16.479999999999997
