animal_id,group,experiment,bin,time_s,pct_s0s28
63.3,ELS,1,1,60,11.733333333333333
63.3,ELS,1,2,90,0.0
63.3,ELS,1,3,120,1.866666666666667
63.3,ELS,1,4,150,6.800000000000001
63.3,ELS,1,5,180,0.0
63.3,ELS,1,6,210,5.466666666666667
63.3,ELS,1,7,240,8.933333333333334
63.3,ELS,1,8,270,5.6000000000000005
63.3,ELS,1,9,300,23.733333333333334
63.3,ELS,1,10,330,25.333333333333332
63.3,ELS,1,11,360,45.86666666666667
63.3,ELS,1,12,390,28.26666666666667
63.3,ELS,1,13,420,69.46666666666667
63.3,ELS,1,14,450,57.333333333333336
68.1,Control,1,0,30,0.0
68.1,Control,1,1,60,1.3333333333333337
68.1,Control,1,2,90,1.4666666666666666
68.1,Control,1,3,120,1.4666666666666666
68.1,Control,1,4,150,6.666666666666667
68.1,Control,1,5,180,1.866666666666667
68.1,Control,1,6,210,3.4666666666666663
68.1,Control,1,7,240,48.0
68.1,Control,1,8,270,19.73333333333333
68.1,Control,1,9,300,16.400000000000002
68.1,Control,1,10,330,42.93333333333334
68.1,Control,1,11,360,50.93333333333333
68.1,Control,1,12,390,27.066666666666663
68.1,Control,1,13,420,38.266666666666666
68.1,Control,1,14,450,25.73333333333333
69.1,ELS,1,0,30,0.0
69.1,ELS,1,1,60,0.0
69.1,ELS,1,2,90,8.4
69.1,ELS,1,3,120,20.0
69.1,ELS,1,4,150,6.666666666666667
69.1,ELS,1,5,180,9.6
69.1,ELS,1,6,210,12.133333333333333
69.1,ELS,1,7,240,13.2
69.1,ELS,1,8,270,8.266666666666667
69.1,ELS,1,9,300,6.533333333333332
69.1,ELS,1,10,330,33.6
69.1,ELS,1,11,360,8.799999999999999
69.1,ELS,1,12,390,34.0
69.1,ELS,1,13,420,35.2
69.1,ELS,1,14,450,49.06666666666666
69.2,ELS,1,0,30,0.0
69.2,ELS,1,1,60,0.0
69.2,ELS,1,2,90,0.0
69.2,ELS,1,3,120,6.933333333333333
69.2,ELS,1,4,150,7.733333333333333
69.2,ELS,1,5,180,0.1333333333333333
69.2,ELS,1,6,210,6.666666666666667
69.2,ELS,1,7,240,11.6
69.2,ELS,1,8,270,10.533333333333331
69.2,ELS,1,9,300,1.7333333333333332
69.2,ELS,1,10,330,2.933333333333333
69.2,ELS,1,11,360,4.4
69.2,ELS,1,12,390,19.066666666666663
69.2,ELS,1,13,420,25.066666666666663
69.2,ELS,1,14,450,16.0
69.3,ELS,1,0,30,6.666666666666667
69.3,ELS,1,1,60,1.3333333333333337
69.3,ELS,1,2,90,1.2
69.3,ELS,1,3,120,0.0
69.3,ELS,1,4,150,0.0
69.3,ELS,1,5,180,4.533333333333333
69.3,ELS,1,6,210,13.066666666666665
69.3,ELS,1,7,240,18.933333333333334
69.3,ELS,1,8,270,12.266666666666666
69.3,ELS,1,9,300,4.8
69.3,ELS,1,10,330,19.866666666666667
69.3,ELS,1,11,360,20.53333333333333
69.3,ELS,1,12,390,34.13333333333333
69.3,ELS,1,13,420,17.333333333333336
69.3,ELS,1,14,450,17.2
69.5,ELS,1,0,30,3.333333333333333
69.5,ELS,1,1,60,2.4
69.5,ELS,1,2,90,3.0666666666666664
69.5,ELS,1,3,120,4.0
69.5,ELS,1,4,150,0.0
69.5,ELS,1,5,180,10.133333333333333
69.5,ELS,1,6,210,14.666666666666666
69.5,ELS,1,7,240,14.133333333333333
69.5,ELS,1,8,270,29.33333333333333
69.5,ELS,1,9,300,25.466666666666665
69.5,ELS,1,10,330,3.733333333333334
69.5,ELS,1,11,360,17.2
69.5,ELS,1,12,390,45.2
69.5,ELS,1,13,420,20.53333333333333
69.5,ELS,1,14,450,52.26666666666666
73.1,ELS,1,0,30,6.666666666666667
73.1,ELS,1,1,60,0.0
73.1,ELS,1,2,90,1.4666666666666666
73.1,ELS,1,3,120,0.0
73.1,ELS,1,4,150,9.2
73.1,ELS,1,5,180,2.533333333333333
73.1,ELS,1,6,210,14.133333333333336
73.1,ELS,1,7,240,2.0
73.1,ELS,1,8,270,7.733333333333333
73.1,ELS,1,9,300,17.333333333333336
73.1,ELS,1,10,330,26.8
73.1,ELS,1,11,360,25.2
73.1,ELS,1,12,390,24.666666666666668
73.1,ELS,1,13,420,41.86666666666667
73.1,ELS,1,14,450,55.06666666666666
73.4,ELS,1,0,30,10.8
73.4,ELS,1,1,60,7.333333333333333
73.4,ELS,1,2,90,0.0
73.4,ELS,1,3,120,0.0
73.4,ELS,1,4,150,20.8
73.4,ELS,1,5,180,1.866666666666667
73.4,ELS,1,6,210,4.266666666666667
73.4,ELS,1,7,240,14.4
73.4,ELS,1,8,270,6.266666666666667
73.4,ELS,1,9,300,8.799999999999999
73.4,ELS,1,10,330,6.266666666666667
73.4,ELS,1,11,360,24.666666666666668
73.4,ELS,1,12,390,32.13333333333333
73.4,ELS,1,13,420,18.53333333333333
73.4,ELS,1,14,450,56.66666666666666
74.1,Control,1,0,30,0.0
74.1,Control,1,1,60,0.0
74.1,Control,1,2,90,5.333333333333334
74.1,Control,1,3,120,0.0
74.1,Control,1,4,150,4.0
74.1,Control,1,5,180,1.4666666666666666
74.1,Control,1,6,210,5.2
74.1,Control,1,7,240,34.0
74.1,Control,1,8,270,10.266666666666667
74.1,Control,1,9,300,18.4
74.1,Control,1,10,330,30.53333333333333
74.1,Control,1,11,360,19.866666666666667
74.1,Control,1,12,390,34.266666666666666
74.1,Control,1,13,420,57.73333333333333
