behavior,rank,parameter,parameter_label,mean_absolute_shap,mean_shap,sd_shap,sem_shap,minimum_shap,maximum_shap,n_frames,plotted_top_10
Jump,182,dist_B1L_H1L_roll_mean,Mean distance Left body 1 - Left head 1,0.015030082315206528,-0.0015330386813730001,0.02096257545053959,0.00040813819847221783,-0.13819441199302673,0.12122237682342529,2638,False
Jump,183,dist_B1L_B2L,Distance Left body 1 - Left body 2,0.014908064156770706,-0.004932687617838383,0.023672116920351982,0.000460892564307859,-0.13972915709018707,0.05510597303509712,2638,False
Jump,184,tail_x_t-4,Tail x (lag 4),0.014846716076135635,0.00014382727385964245,0.01962905377149582,0.00038217473148350093,-0.033910881727933884,0.04508942365646362,2638,False
Jump,185,dist_B1R_B2L_roll_mean,Mean distance Right body 1 - Left body 2,0.01479696948081255,-0.007390620186924934,0.02643984742462635,0.00051477986191289,-0.13838866353034973,0.06574147939682007,2638,False
Jump,186,dist_B3L_H1R_roll_std,SD distance Left body 3 - Right head 1,0.01477653905749321,-0.006641474086791277,0.02200823277235031,0.000428496989621238,-0.16963396966457367,0.08215003460645676,2638,False
Jump,187,dist_B3R_H1R_roll_std,SD distance Right body 3 - Right head 1,0.014666355215013027,0.003563422244042158,0.026884857565164566,0.0005234441425729489,-0.2092764675617218,0.20915868878364563,2638,False
Jump,188,B1L_x_t-3,Left body 1 x (lag 3),0.01466478779911995,-0.0036707029212266207,0.03692469745874405,0.0007189183187677235,-0.24077719449996948,0.1760159283876419,2638,False
Jump,189,dist_B3L_nose_roll_sum,Summed distance Left body 3 - Nose,0.014640104956924915,-0.0037165950052440166,0.01813512109220028,0.0003530880863904353,-0.07836086302995682,0.026553912088274956,2638,False
Jump,190,dist_B1L_nose_roll_std,SD distance Left body 1 - Nose,0.014630778692662716,-0.007295535411685705,0.02086700312793255,0.0004062774196922116,-0.0846942663192749,0.0838618129491806,2638,False
Jump,191,B3R_x_roll_sum,Summed right body 3 x,0.01455416064709425,-0.0003054281696677208,0.023661460727453232,0.00046068508983114064,-0.04640285298228264,0.22353848814964294,2638,False
Jump,192,global_body_angle_roll_std,SD global body angle,0.014527303166687489,0.0039861020632088184,0.023966951295733452,0.00046663294535501587,-0.21349577605724335,0.11235431581735611,2638,False
Jump,193,S1_y_t-3,Center body y (lag 3),0.014372960664331913,-0.0012638831976801157,0.027992209419608116,0.0005450041170147261,-0.2754397690296173,0.057266250252723694,2638,False
Jump,194,dist_H1R_nose_roll_sum,Summed distance Right head 1 - Nose,0.01435142196714878,-0.004299759399145842,0.04900161549448967,0.0009540541007156891,-0.4237222969532013,0.012804724276065826,2638,False
Jump,195,dist_B2L_H1L,Distance Left body 2 - Left head 1,0.01421915553510189,-0.002287145471200347,0.019271140918135643,0.0003752062219353713,-0.0792246162891388,0.06911006569862366,2638,False
Jump,196,dist_H1L_H2L_roll_mean,Mean distance Left head 1 - Left head 2,0.014218729920685291,-0.00016971459263004363,0.022266913205385208,0.0004335334588360051,-0.2332591563463211,0.1587717980146408,2638,False
Jump,197,dist_B2L_B3R_roll_mean,Mean distance Left body 2 - Right body 3,0.014088674448430538,-0.004990001209080219,0.019746843725442886,0.00038446808421181965,-0.08429574966430664,0.09589330106973648,2638,False
Jump,198,dist_H1L_nose_roll_mean,Mean distance Left head 1 - Nose,0.01403450220823288,-0.002570561831817031,0.018890496343374252,0.00036779512918257986,-0.08670519292354584,0.11330661177635193,2638,False
Jump,199,dist_B2L_B3L_roll_sum,Summed distance Left body 2 - Left body 3,0.01400230173021555,0.00199680682271719,0.01955007016658783,0.0003806369325478669,-0.1152094304561615,0.04786232113838196,2638,False
Jump,200,dist_B2L_H2L_roll_mean,Mean distance Left body 2 - Left head 2,0.013931426219642162,-0.00114480871707201,0.02049250528216362,0.0003989860028305529,-0.1173730120062828,0.0653822049498558,2638,False
Jump,201,H1R_velocity,Right head 1 velocity,0.013856814242899418,0.0025509237311780453,0.018595382571220398,0.00036204930832218964,-0.08550012856721878,0.07542598992586136,2638,False
Jump,202,dist_H2L_S2_roll_std,SD distance Left head 2 - Center body,0.01384462509304285,-0.0065374174155294895,0.018499204888939857,0.00036017674328017794,-0.12158238887786865,0.11395826935768127,2638,False
Jump,203,S2_velocity,Center body velocity,0.013736581429839134,-0.005438267719000578,0.017613599076867104,0.00034293413100914633,-0.125662699341774,0.11155357211828232,2638,False
